Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-09-09,0.000000000000,0.249876872266,-0.051161103048,2013-09-17,-0.456686215766,0.291986104456,-0.074020319303,2013-10-17,,,-0.109579100145,2013-12-12,0.870000000000,0.540000000000,-0.001073653970,0.036479879654
2013-09-10,0.025996608887,0.183588544075,-0.046828908555,2013-09-18,-0.431862494982,0.369880693802,-0.044616519174,2013-10-18,,,-0.109513274336,2013-12-13,0.840000000000,0.470000000000,-0.001789028653,0.025046728972
2013-09-11,0.017331072591,0.170976142252,-0.035372144436,2013-09-23,-0.405269174720,0.452809868808,-0.042004421518,2013-10-21,,,-0.111274871039,2013-12-16,0.860000000000,0.380000000000,-0.001384986097,0.031060606061
2013-09-12,0.017331072591,0.063928214427,-0.010169491525,2013-09-24,-0.396091214148,0.505889707818,-0.024858757062,2013-10-22,,,-0.088888888889,2013-12-17,0.800000000000,0.300000000000,-0.000722966452,0.000746268657
2013-09-13,0.034662145182,0.168049696352,-0.005311077390,2013-09-25,-0.379418536761,0.798622265053,-0.004931714719,2013-10-23,,,-0.081942336874,2013-12-18,0.810000000000,0.210000000000,-0.000004092313,-0.033185840708
2013-09-16,0.017331072591,0.254971953085,0.008030592734,2013-09-26,-0.389813565166,0.915378356387,0.004206500956,2013-10-24,,,-0.077246653920,2013-12-19,0.800000000000,0.120000000000,0.000608875838,-0.038728534892
2013-09-17,-0.008445969724,0.261392099639,0.015473887814,2013-09-27,-0.349224592063,1.013129423846,0.015087040619,2013-10-25,,,-0.082785299807,2013-12-20,0.760000000000,0.010000000000,-0.001255603622,-0.035489833641
2013-09-18,-0.008517911749,0.247096614776,0.005729564553,2013-09-30,-0.354767839556,1.036050904023,0.006111535523,2013-10-28,,,-0.100458365164,2013-12-23,0.700000000000,0.030000000000,-0.000802938329,-0.049559471366
2013-09-23,-0.289608999458,0.232154172220,0.003805175038,2013-10-08,-0.537695006827,1.136708093362,0.001522070015,2013-10-29,,,-0.103120243531,2013-12-24,0.490000000000,-0.240000000000,-0.002258468850,-0.031319086220
2013-09-24,-0.510889198462,0.111624861089,0.001144164760,2013-10-09,-0.676276194154,1.122499242195,-0.000762776506,2013-10-30,,,-0.099542334096,2013-12-25,0.460000000000,-0.330000000000,-0.000400631199,-0.040614709111
