feature,financial_role,mechanism,existing_role_overlap,evidence_label,cluster_id,cluster_members,representative,status,most_related_existing,maximum_existing_abs_rho,most_related_existing_discovery_rho,confirmation_partial_ic_from_ex71,bootstrap_probability_from_ex71
AfternoonReturn,ENTRY_TIMING,ETF same-day weakness followed by potential rebound,EX18 has three price-state ENTRY_TIMING components,DIRECTIONALLY_STABLE,C001,AfternoonReturn | CloseLocation,AfternoonReturn,INDEPENDENT_REPRESENTATIVE,price_return_5d,0.09846226088784824,0.1175825895056898,0.0268861010407885,0.85
CloseLocation,ENTRY_TIMING,ETF same-day weakness followed by potential rebound,EX18 has three price-state ENTRY_TIMING components,DIRECTIONALLY_STABLE,C001,AfternoonReturn | CloseLocation,AfternoonReturn,REDUNDANT_WITH_NEW_REPRESENTATIVE,price_return_5d,0.09865419663589131,0.14175807172780053,0.0276336009176407,0.77
OvernightGap,ENTRY_TIMING,ETF same-day weakness followed by potential rebound,EX18 has three price-state ENTRY_TIMING components,DIRECTIONALLY_STABLE,C002,OvernightGap,OvernightGap,INDEPENDENT_REPRESENTATIVE,price_return_5d,0.3704832939742485,0.36647606880998546,0.0497176129173709,1.0
