Horizon,State,EvaluationN,StateRuns,BaselineMSE,ExtendedMSE,DeltaMSE,CI95Lower,CI95Upper,PValue,PositiveYears,EvaluableYears,BaselineRankIC,BaselineQuintileSpread,BaselineUpsideCapture,BaselineDownsideAvoidance,ExtendedRankIC,ExtendedQuintileSpread,ExtendedUpsideCapture,ExtendedDownsideAvoidance,Status,QValue,ExploratoryClue
20,START,147,35,0.0011155774152347513,0.001120052704388664,-4.475289153912881e-06,-3.483715185706044e-05,2.472261899948131e-05,0.5957021489255372,3,6,0.24507575149403021,0.029036051492967074,0.9141739355635403,0.5665032992743742,0.22353797869466735,0.024536618116513278,0.9169842951100943,0.5807931455194786,ESTIMATED,0.953023488255872,False
20,PERSIST,761,66,0.0016586562313255979,0.0016596632793126282,-1.007047987030393e-06,-2.958596232027261e-05,3.1607162860321614e-05,0.5232383808095952,4,6,0.16393181338336624,0.013817820546067701,0.5021056955487819,0.6641498665344249,0.15237386693593405,0.013168247310080318,0.4888650168242066,0.6634242005136773,ESTIMATED,0.953023488255872,False
20,PULLBACK,278,63,0.0015670475001293247,0.0015867664882277352,-1.9718988098410676e-05,-4.446806458802805e-05,3.289462235059987e-06,0.953023488255872,2,6,0.07872225568793828,0.005956682078139537,0.3230040921897807,0.7949225767148828,0.05882211663998252,0.003267022554863933,0.2909169084801376,0.7830145322112414,ESTIMATED,0.953023488255872,False
20,WEAK,245,38,0.0010142170693607014,0.0010183993275457443,-4.182258185042834e-06,-5.1050020557115276e-05,3.864593912519202e-05,0.5777111444277861,2,6,0.07438250707523414,0.006932576868200108,0.5766358727931812,0.4216392940758829,0.04353279984594005,0.00722796959565165,0.5624618131945012,0.38083749075747836,ESTIMATED,0.953023488255872,False
60,START,147,35,0.0050654616708539334,0.005000829682601109,6.463198825282419e-05,-0.00016938496499940318,0.00031498069414192745,0.30134932533733133,4,6,0.19617828619785568,0.044177566580875606,0.6249218087500652,0.7859054094296368,0.20430830606955852,0.02335186805186358,0.626562730468038,0.7311608552732537,ESTIMATED,0.953023488255872,False
60,PERSIST,734,65,0.005278866926186172,0.0053138243752725986,-3.495744908642651e-05,-9.305900477934534e-05,7.105838151125202e-06,0.8980509745127436,3,6,-0.03283082523847045,-0.005775570852156388,0.5907298724803318,0.4118038162712125,-0.04401507323245846,-0.008365999759839302,0.5861309476086495,0.414558678249824,ESTIMATED,0.953023488255872,False
60,PULLBACK,265,61,0.00649641894618829,0.0065507990194283335,-5.438007324004244e-05,-0.00014637025628587064,1.975480747030816e-05,0.8820589705147426,2,6,0.02473787384413005,0.01120957377056562,0.25341486837980964,0.7799954763095241,0.009385599504765346,0.0018843947615303051,0.2498650654086098,0.764185409028378,ESTIMATED,0.953023488255872,False
60,WEAK,245,38,0.004827206304750536,0.004840419830466681,-1.3213525716143988e-05,-0.0006445207034778753,0.0004907394002768808,0.5677161419290355,3,6,-0.041462598634015795,-0.006437836883320919,0.4786474405716865,0.516269661959334,-0.034150421464067444,0.004180318548641329,0.4126990478806228,0.6235000524626212,ESTIMATED,0.953023488255872,False
