Symbol,Rows,FirstDate,LastDate,ContentSha256,AvailabilityRule,MinShare
518880.SH,2781,2013-07-29,2024-12-31,a749a38023fb01189ad24ad949dc90998293f2fd285fe08a7f21a453213b62d4,T+1 08:30 Asia/Shanghai,5044.08
518800.SH,2781,2013-07-29,2024-12-31,41b9215f9a6d77ca5c35705985c500b5c084816f32ebb99010fbaa6c8c03254c,T+1 08:30 Asia/Shanghai,461.99
