Baseline,N,DeltaMSE,Bootstrap95Lower,Bootstrap95Upper,PositiveYears,FeatureRankIC,FeatureRankIC2019_2021,FeatureRankIC2022_2024,BaselineRankIC,ExtendedRankIC,PValue,MinimumBaselineRank,MinimumExtendedRank,MaximumBaselineCondition,MaximumExtendedCondition,QValue
PRICE,1435,0.000029493678,0.000002162849,0.000059553842,4,0.150269777899,0.113409111915,0.191186600847,0.005136697892,0.092058948009,0.028985507246,6,7,3.142015022526,3.188027772139,0.038647342995
PRICE_VIX,1435,0.000037585252,0.000005888834,0.000074686611,6,0.150269777899,0.113409111915,0.191186600847,0.000804533674,0.098165514350,0.023988005997,8,9,3.239001189284,3.287811083729,0.038647342995
PRICE_LIQUIDITY,1435,0.000016739003,-0.000007940191,0.000041623878,4,0.150269777899,0.113409111915,0.191186600847,0.054592238518,0.088285111249,0.092453773113,12,13,4.251049875465,4.261914037034,0.092453773113
PRICE_VIX_LIQUIDITY,1435,0.000034043793,0.000005788990,0.000066665895,5,0.150269777899,0.113409111915,0.191186600847,-0.007485372724,0.038619346299,0.021989005497,14,15,4.457370135039,4.553226268823,0.038647342995
