Feature,OtherFamilyControl,Early,Late,LateMinusEarlyYearBlockCI025,LateMinusEarlyYearBlockCI975,YearBlockDifferencePositiveShare,LateAnnualIC,LateLeaveOneYearOutIC,LatePriorPriceDownN,LatePriorPriceDownIC,LatePriorPriceUpN,LatePriorPriceUpIC
CpiVolRise,PmiBelow50,"{""ControlledYearIC"": 0.10668649385326713, ""FactorMedian"": 0.012845766848, ""FactorPositiveShare"": 0.578125, ""ForwardMean"": -0.00023466864278124874, ""IC"": -0.02646550441455918, ""LagOneMonthIC"": -0.09739823348694318, ""N"": 64, ""WithinYearIC"": -0.16346820754080035}","{""ControlledYearIC"": 0.22105949558803245, ""FactorMedian"": 0.0, ""FactorPositiveShare"": 0.49295774647887325, ""ForwardMean"": 0.011576575557253523, ""IC"": 0.23948621691807623, ""LagOneMonthIC"": -0.020759272969092454, ""N"": 71, ""WithinYearIC"": 0.1736953272866978}",-0.004477288027,0.538861729819,0.973000000000,"{""2019"": -0.49123109407575277, ""2020"": 0.5078816895453011, ""2021"": 0.09106844088398502, ""2022"": 0.45263436525551504, ""2023"": 0.024518426391842117, ""2024"": 0.48291697043289755}","{""2019"": 0.3303913272189539, ""2020"": 0.18344950631533863, ""2021"": 0.24710300715249134, ""2022"": 0.18525879020264915, ""2023"": 0.25671825131016957, ""2024"": 0.2171091947522703}",24,0.229615139153,47,0.188325769016
CpiOr,PmiBelow50,"{""ControlledYearIC"": -0.043969392705234804, ""FactorMedian"": 1.0, ""FactorPositiveShare"": 0.734375, ""ForwardMean"": -0.00023466864278124874, ""IC"": -0.02968396962339072, ""LagOneMonthIC"": 0.05112987873669117, ""N"": 64, ""WithinYearIC"": -0.035346048511083916}","{""ControlledYearIC"": 0.07188668119332908, ""FactorMedian"": 1.0, ""FactorPositiveShare"": 0.7605633802816901, ""ForwardMean"": 0.011576575557253523, ""IC"": 0.08857613044690184, ""LagOneMonthIC"": -0.24640269015229055, ""N"": 71, ""WithinYearIC"": 0.08513310892550738}",-0.170863247076,0.424194252099,0.798000000000,"{""2019"": 0.15362746694975676, ""2020"": -0.2591001102525183, ""2021"": 0.027874733666903025, ""2022"": 0.3886501653787775, ""2023"": 0.0, ""2024"": 0.223606797749979}","{""2019"": 0.06723701744440717, ""2020"": 0.18514587995741025, ""2021"": 0.10293981959706083, ""2022"": 0.032000522461774615, ""2023"": 0.09365156001185285, ""2024"": 0.05000694589153869}",24,0.130550673154,47,0.045909913726
PmiBelow50,CpiVolRise,"{""ControlledYearIC"": -0.07415974940830765, ""FactorMedian"": -5.4, ""FactorPositiveShare"": 0.078125, ""ForwardMean"": -0.00023466864278124874, ""IC"": -0.021433724385584368, ""LagOneMonthIC"": -0.06037835675988049, ""N"": 64, ""WithinYearIC"": 0.04548764278599831}","{""ControlledYearIC"": 0.13786257570714947, ""FactorMedian"": -0.9, ""FactorPositiveShare"": 0.43661971830985913, ""ForwardMean"": 0.011576575557253523, ""IC"": 0.20025659243607447, ""LagOneMonthIC"": 0.207301942884455, ""N"": 71, ""WithinYearIC"": 0.1976311890217554}",0.021849565439,0.381313882931,0.985000000000,"{""2019"": 0.15384615384615385, ""2020"": 0.43356643356643365, ""2021"": -0.15114445580158797, ""2022"": 0.18563951410966179, ""2023"": 0.3537658665108649, ""2024"": 0.20956774188597443}","{""2019"": 0.1995761830928809, ""2020"": 0.13717008441901563, ""2021"": 0.20327093343044944, ""2022"": 0.1855169938621141, ""2023"": 0.25872552990772113, ""2024"": 0.21265598045723216}",24,-0.043506644026,47,0.263215747486
PmiDecline,CpiVolRise,"{""ControlledYearIC"": -0.004720967300371119, ""FactorMedian"": -0.15000000000000002, ""FactorPositiveShare"": 0.453125, ""ForwardMean"": -0.00023466864278124874, ""IC"": -0.0365839760262546, ""LagOneMonthIC"": 0.13734887357753867, ""N"": 64, ""WithinYearIC"": -0.09620694362180338}","{""ControlledYearIC"": 0.05597281086835149, ""FactorMedian"": 0.4, ""FactorPositiveShare"": 0.5774647887323944, ""ForwardMean"": 0.011576575557253523, ""IC"": 0.12408900728901183, ""LagOneMonthIC"": 0.013502521068890851, ""N"": 71, ""WithinYearIC"": 0.1018619684432358}",-0.110671126077,0.498255800147,0.871000000000,"{""2019"": -0.027972027972027972, ""2020"": 0.021015794050150388, ""2021"": -0.15384615384615385, ""2022"": 0.5874125874125874, ""2023"": 0.1258741258741259, ""2024"": 0.05454545454545456}","{""2019"": 0.1536010428752002, ""2020"": 0.14241859173659377, ""2021"": 0.15474347343809972, ""2022"": 0.04224220116860638, ""2023"": 0.11085126968301345, ""2024"": 0.13607560280986528}",24,0.223189083855,47,0.134251104399
PmiOr,CpiVolRise,"{""ControlledYearIC"": 0.0032778606762437173, ""FactorMedian"": 0.0, ""FactorPositiveShare"": 0.484375, ""ForwardMean"": -0.00023466864278124874, ""IC"": 0.06854580424192598, ""LagOneMonthIC"": 0.1503092283431799, ""N"": 64, ""WithinYearIC"": 0.018184551838016445}","{""ControlledYearIC"": 0.18218778539182628, ""FactorMedian"": 1.0, ""FactorPositiveShare"": 0.7464788732394366, ""ForwardMean"": 0.011576575557253523, ""IC"": 0.2638260277267193, ""LagOneMonthIC"": 0.12729482105384085, ""N"": 71, ""WithinYearIC"": 0.21876185129418427}",-0.045640388359,0.473706434895,0.949000000000,"{""2019"": 0.3886501653787775, ""2020"": 0.17137861409939506, ""2021"": -0.1224132957852822, ""2022"": 0.5853694070049635, ""2023"": null, ""2024"": 0.30000000000000004}","{""2019"": 0.2305918781619557, ""2020"": 0.2833560020871445, ""2021"": 0.33477678584803, ""2022"": 0.18743163156182271, ""2023"": 0.2896527249241341, ""2024"": 0.2573523024676531}",24,0.125108648434,47,0.327346600870
