reference,annualized_return,maximum_drawdown_magnitude,exposure_ratio,positive_log_return_capture_ratio,negative_log_return_avoidance_ratio,false_cash_sessions,false_long_sessions
P02_REGIME_RECOVERY,0.109327118640,0.126136542149,0.564719810576,0.622185436347,0.468556741309,801.000000000000,126.000000000000
P06_CORE_CARRY_REGIME_VETO,0.102497565681,0.175626803641,0.900552486188,0.929996176860,0.108824272489,63.000000000000,239.000000000000
ORACLE,0.135217193623,0.126174496644,0.830769230769,0.847224806420,0.239409221550,,
