ReferenceMonth,ReleaseDate,AvailableDate,AbsoluteDifferencePP
2023-08,2023-09-13,2023-09-14,0.034887615600
2023-09,2023-10-12,2023-10-13,0.000301878656
2023-10,2023-11-14,2023-11-15,0.041144651893
2023-11,2023-12-12,2023-12-13,0.037270708842
2023-12,2024-01-11,2024-01-12,0.047877168570
2024-01,2024-02-13,2024-02-19,0.009115218772
2024-02,2024-03-12,2024-03-13,0.046828879138
2024-03,2024-04-10,2024-04-11,0.022614929962
2024-04,2024-05-15,2024-05-16,0.042636049881
2024-05,2024-06-12,2024-06-13,0.030970943060
2024-06,2024-07-11,2024-07-12,0.028602892737
2024-07,2024-08-14,2024-08-15,0.005246801509
2024-08,2024-09-11,2024-09-12,0.030730296457
2024-09,2024-10-10,2024-10-11,0.040633031070
2024-10,2024-11-13,2024-11-14,0.002095095085
2024-11,2024-12-11,2024-12-12,0.049380396091
