Date,PeerFlow60,OwnFlow60,PriorPrice60,FlowWindowPrice60,PreFlowPrice60,SurgeThreshold,Rally,Event,Forward20,ExitDate20,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-07-29,,,,,,,False,False,0.053191489362,2013-08-27,-0.005319148936,2013-10-31,,,,
2013-07-30,,,,,,,False,False,0.063185773742,2013-08-28,-0.018161180477,2013-11-01,0.450000000000,,,
2013-07-31,,,,,,,False,False,0.058424425179,2013-08-29,-0.018846588767,2013-11-04,0.460000000000,,,
2013-08-01,,,,,,,False,False,0.057414448669,2013-08-30,-0.017110266160,2013-11-05,0.380000000000,,,
2013-08-02,,,,,,,False,False,0.056848531095,2013-09-02,-0.016024418161,2013-11-06,0.480000000000,,,
2013-08-05,,,,,,,False,False,0.057251908397,2013-09-03,-0.015267175573,2013-11-07,0.420000000000,,,
2013-08-06,,,,,,,False,False,0.089383294301,2013-09-04,0.007025761124,2013-11-08,0.420000000000,,,
2013-08-07,,,,,,,False,False,0.068392581144,2013-09-05,-0.020479134467,2013-11-11,0.390000000000,,,
2013-08-08,,,,,,,False,False,0.040000000000,2013-09-06,-0.037333333333,2013-11-12,0.350000000000,,,
2013-08-09,,,,,,,False,False,0.035768072289,2013-09-09,-0.057605421687,2013-11-13,0.340000000000,,,
2013-08-12,,,,,,,False,False,0.035311795642,2013-09-10,-0.058602554470,2013-11-14,0.330000000000,,,
2013-08-13,,,,,,,False,False,0.027272727273,2013-09-11,-0.045075757576,2013-11-15,0.370000000000,,,
2013-08-14,,,,,,,False,False,0.012686567164,2013-09-12,-0.056343283582,2013-11-18,0.480000000000,,,
2013-08-15,,,,,,,False,False,-0.027472527473,2013-09-13,-0.076923076923,2013-11-19,0.500000000000,,,
2013-08-16,,,,,,,False,False,-0.037956204380,2013-09-16,-0.087226277372,2013-11-20,0.600000000000,,,
2013-08-19,,,,,,,False,False,-0.040366972477,2013-09-17,-0.086972477064,2013-11-21,0.680000000000,,,
2013-08-20,,,,,,,False,False,-0.049632352941,2013-09-18,-0.094485294118,2013-11-22,0.750000000000,,,
2013-08-21,,,,,,,False,False,-0.036437246964,2013-09-23,-0.095693779904,2013-11-25,0.670000000000,,,
